Timestamp,CAN_ID,DLC,Data
1787422723.951008,0x100,2,02 00
1787422723.951149,0x101,2,66 03
1787422723.951171,0x102,2,45 00
1787422724.451847,0x100,2,04 00
1787422724.452024,0x101,2,AC 03
1787422724.452054,0x102,2,45 00
1787422724.952325,0x100,2,06 00
1787422724.952386,0x101,2,F2 03
1787422724.952395,0x102,2,45 00
1787422725.454895,0x100,2,08 00
1787422725.454974,0x101,2,38 04
1787422725.454982,0x102,2,45 00
1787422725.955457,0x100,2,0A 00
1787422725.955628,0x101,2,7E 04
1787422725.955662,0x102,2,45 00
1787422726.455925,0x100,2,0C 00
1787422726.455993,0x101,2,C4 04
1787422726.456001,0x102,2,45 00
1787422726.956323,0x100,2,0E 00
1787422726.956449,0x101,2,0A 05
1787422726.956462,0x102,2,45 00
1787422727.456955,0x100,2,10 00
1787422727.457105,0x101,2,50 05
1787422727.457130,0x102,2,45 00
1787422727.957374,0x100,2,12 00
1787422727.957434,0x101,2,96 05
1787422727.957440,0x102,2,45 00
1787422728.457973,0x100,2,14 00
1787422728.458105,0x101,2,DC 05
1787422728.458130,0x102,2,45 00
1787422728.958612,0x100,2,16 00
1787422728.958777,0x101,2,22 06
1787422728.958813,0x102,2,45 00
1787422729.459233,0x100,2,18 00
1787422729.459325,0x101,2,68 06
1787422729.459335,0x102,2,45 00
1787422729.959790,0x100,2,1A 00
1787422729.959871,0x101,2,AE 06
1787422729.959878,0x102,2,45 00
1787422730.460556,0x100,2,1C 00
1787422730.460647,0x101,2,F4 06
1787422730.460655,0x102,2,45 00
1787422730.961135,0x100,2,1E 00
1787422730.961255,0x101,2,3A 07
1787422730.961272,0x102,2,45 00
1787422731.461957,0x100,2,20 00
1787422731.462052,0x101,2,80 07
1787422731.462066,0x102,2,45 00
1787422731.962968,0x100,2,22 00
1787422731.963059,0x101,2,C6 07
1787422731.963114,0x102,2,45 00
1787422732.464328,0x100,2,24 00
1787422732.464444,0x101,2,0C 08
1787422732.464463,0x102,2,45 00
1787422732.965637,0x100,2,26 00
1787422732.965797,0x101,2,52 08
1787422732.965817,0x102,2,45 00
1787422733.466251,0x100,2,28 00
1787422733.466428,0x101,2,98 08
1787422733.466462,0x102,2,45 00
1787422733.966616,0x100,2,2A 00
1787422733.966685,0x101,2,DE 08
1787422733.966693,0x102,2,45 00
1787422734.467278,0x100,2,2C 00
1787422734.467397,0x101,2,24 09
1787422734.467429,0x102,2,45 00
1787422734.967857,0x100,2,2E 00
1787422734.968030,0x101,2,6A 09
1787422734.968056,0x102,2,46 00
1787422735.468515,0x100,2,30 00
1787422735.468630,0x101,2,B0 09
1787422735.468662,0x102,2,46 00
1787422735.970378,0x100,2,32 00
1787422735.970492,0x101,2,F6 09
1787422735.970518,0x102,2,46 00
1787422736.470634,0x100,2,34 00
1787422736.470743,0x101,2,3C 0A
1787422736.470774,0x102,2,46 00
1787422736.972069,0x100,2,36 00
1787422736.972176,0x101,2,82 0A
1787422736.972208,0x102,2,46 00
1787422737.472509,0x100,2,38 00
1787422737.472599,0x101,2,C8 0A
1787422737.472615,0x102,2,46 00
1787422737.973877,0x100,2,3A 00
1787422737.974121,0x101,2,0E 0B
1787422737.974168,0x102,2,46 00
1787422738.474353,0x100,2,3C 00
1787422738.474434,0x101,2,54 0B
1787422738.474446,0x102,2,46 00
1787422738.975266,0x100,2,3E 00
1787422738.975386,0x101,2,9A 0B
1787422738.975397,0x102,2,46 00
1787422739.475644,0x100,2,40 00
1787422739.475716,0x101,2,E0 0B
1787422739.475730,0x102,2,46 00
1787422739.976259,0x100,2,42 00
1787422739.976338,0x101,2,26 0C
1787422739.976360,0x102,2,47 00
1787422740.476751,0x100,2,44 00
1787422740.476795,0x101,2,6C 0C
1787422740.476809,0x102,2,47 00
1787422740.976984,0x100,2,46 00
1787422740.977039,0x101,2,B2 0C
1787422740.977045,0x102,2,47 00
1787422741.477391,0x100,2,48 00
1787422741.477459,0x101,2,F8 0C
1787422741.477466,0x102,2,47 00
1787422741.977911,0x100,2,4A 00
1787422741.978008,0x101,2,3E 0D
1787422741.978018,0x102,2,47 00
1787422742.478376,0x100,2,4C 00
1787422742.478463,0x101,2,84 0D
1787422742.478471,0x102,2,47 00
1787422742.982097,0x100,2,4E 00
1787422742.982160,0x101,2,CA 0D
1787422742.982166,0x102,2,47 00
1787422743.482484,0x100,2,50 00
1787422743.482577,0x101,2,10 0E
1787422743.482589,0x102,2,47 00
1787422743.983742,0x100,2,52 00
1787422743.983953,0x101,2,56 0E
1787422743.983998,0x102,2,47 00
1787422744.484399,0x100,2,54 00
1787422744.484506,0x101,2,9C 0E
1787422744.484517,0x102,2,47 00
1787422744.985072,0x100,2,56 00
1787422744.985157,0x101,2,E2 0E
1787422744.985203,0x102,2,48 00
1787422745.485619,0x100,2,58 00
1787422745.485983,0x101,2,28 0F
1787422745.486035,0x102,2,48 00
1787422745.986100,0x100,2,5A 00
1787422745.986162,0x101,2,6E 0F
1787422745.986169,0x102,2,48 00
1787422746.486471,0x100,2,5C 00
1787422746.486558,0x101,2,B4 0F
1787422746.486634,0x102,2,48 00
1787422746.986722,0x100,2,5E 00
1787422746.986784,0x101,2,FA 0F
1787422746.986791,0x102,2,48 00
1787422747.487310,0x100,2,60 00
1787422747.487367,0x101,2,40 10
1787422747.487388,0x102,2,48 00
1787422747.987663,0x100,2,62 00
1787422747.987712,0x101,2,86 10
1787422747.987723,0x102,2,48 00
1787422748.488016,0x100,2,64 00
1787422748.488063,0x101,2,CC 10
1787422748.488076,0x102,2,48 00
1787422748.988462,0x100,2,66 00
1787422748.988581,0x101,2,12 11
1787422748.988593,0x102,2,48 00
1787422749.488772,0x100,2,68 00
1787422749.488827,0x101,2,58 11
1787422749.488837,0x102,2,48 00
1787422749.989115,0x100,2,6A 00
1787422749.989183,0x101,2,9E 11
1787422749.989188,0x102,2,49 00
1787422750.489515,0x100,2,6C 00
1787422750.489825,0x101,2,E4 11
1787422750.489875,0x102,2,49 00
1787422750.989912,0x100,2,6E 00
1787422750.990056,0x101,2,2A 12
1787422750.990139,0x102,2,49 00
1787422751.490275,0x100,2,70 00
1787422751.490351,0x101,2,70 12
1787422751.490357,0x102,2,49 00
1787422751.990635,0x100,2,72 00
1787422751.990726,0x101,2,B6 12
1787422751.990737,0x102,2,49 00
1787422752.490888,0x100,2,74 00
1787422752.491060,0x101,2,FC 12
1787422752.491107,0x102,2,49 00
1787422752.991441,0x100,2,76 00
1787422752.991537,0x101,2,42 13
1787422752.991594,0x102,2,49 00
1787422753.491773,0x100,2,78 00
1787422753.491919,0x101,2,88 13
1787422753.491987,0x102,2,49 00
1787422753.992305,0x100,2,76 00
1787422753.992700,0x101,2,42 13
1787422753.992733,0x102,2,49 00
1787422754.492953,0x100,2,74 00
1787422754.493186,0x101,2,FC 12
1787422754.493218,0x102,2,49 00
1787422754.993598,0x100,2,72 00
1787422754.993999,0x101,2,B6 12
1787422754.994466,0x102,2,4A 00
1787422755.494546,0x100,2,70 00
1787422755.494639,0x101,2,70 12
1787422755.494673,0x102,2,4A 00
1787422755.994934,0x100,2,6E 00
1787422755.995029,0x101,2,2A 12
1787422755.995046,0x102,2,4A 00
1787422756.495714,0x100,2,6C 00
1787422756.495820,0x101,2,E4 11
1787422756.495860,0x102,2,4A 00
